,1,2,3,4,5,6,7,8,9,10,11
1,14,0,12,0,0,35,0,2,0,4,11
2,14,0,12,0,0,34,0,2,0,5,10
3,13,0,12,0,0,35,0,2,0,5,10
4,13,0,9,0,0,37,0,2,0,5,11
5,13,0,9,0,0,37,0,2,0,4,11
6,13,0,9,0,0,37,0,2,0,4,11
7,13,0,10,0,0,37,0,2,0,4,11
8,12,0,9,0,0,38,0,3,0,4,11
9,13,0,9,0,0,38,0,3,0,4,10
10,13,0,9,0,0,38,0,4,0,3,10
11,13,0,9,0,0,39,0,4,0,3,10
12,14,0,6,0,0,40,0,4,0,3,9
13,14,0,6,0,0,41,0,4,0,3,9
14,14,0,6,0,0,42,0,4,0,3,9
15,14,0,6,0,0,42,0,4,0,2,9
16,14,0,6,0,0,44,0,4,0,2,9
17,14,0,6,0,0,44,0,4,0,2,9
18,14,0,7,0,0,44,0,4,0,3,9
19,14,0,6,0,0,45,0,4,0,3,9
20,14,0,6,0,0,45,0,4,0,4,9
21,14,0,7,0,0,44,0,4,0,4,10
22,14,0,9,0,0,43,0,4,0,2,10
23,15,0,9,0,0,41,0,4,0,2,11
24,16,0,9,0,0,40,0,4,0,2,12
25,16,0,9,0,0,40,0,4,0,2,11
26,16,0,10,0,0,41,0,4,0,2,10
27,17,0,10,0,0,41,0,4,0,2,10
28,17,0,9,0,0,44,0,4,0,2,10
29,18,0,9,0,0,41,0,4,0,3,10
30,18,0,9,0,0,41,0,4,0,4,10
31,20,0,9,0,0,41,0,3,0,5,10
32,20,0,9,0,0,42,0,4,0,4,10
33,20,0,8,0,0,44,0,4,0,4,10
34,20,0,8,0,0,45,0,4,0,4,9
35,20,0,9,0,0,46,0,4,0,4,9
36,20,0,9,0,0,46,0,4,0,4,9
37,20,0,10,0,0,47,0,4,0,4,7
38,19,0,10,0,0,48,0,5,0,4,7
39,18,0,9,0,0,50,0,5,0,4,7
40,18,0,9,0,0,51,0,4,0,4,7
41,18,0,9,0,0,51,0,5,0,4,7
42,18,0,9,0,0,51,0,5,0,4,8
43,17,0,8,0,0,53,0,5,0,4,7
44,17,0,7,0,0,52,0,6,0,4,8
45,16,0,6,0,0,53,0,6,0,4,9
46,15,0,6,0,0,55,0,6,0,4,11
47,15,0,6,0,0,55,0,6,0,4,11
48,15,0,6,0,0,58,0,6,0,4,11
49,16,0,6,0,0,56,0,6,0,4,12
50,16,0,6,0,0,56,0,6,0,4,13
51,17,0,6,0,0,55,0,6,0,4,13
52,17,0,6,0,0,56,0,6,0,4,13
53,17,0,7,0,0,57,0,6,0,3,14
54,18,0,8,0,0,57,0,7,0,2,13
55,18,0,9,0,0,56,0,8,0,2,13
56,18,0,10,0,0,56,0,7,0,2,13
57,17,0,12,0,0,58,0,6,0,2,12
58,17,0,12,0,0,59,0,5,0,2,12
59,18,0,11,0,0,61,0,5,0,2,12
60,18,0,11,0,0,61,0,5,0,1,13
61,17,0,12,0,0,62,0,4,0,1,14
62,16,0,11,0,0,64,0,4,0,1,15
63,18,0,11,0,0,62,0,5,0,1,17
64,19,0,11,0,0,60,0,5,0,1,18
65,19,0,11,0,0,64,0,5,0,1,16
66,19,0,11,0,0,64,0,5,0,1,16
67,19,0,11,0,0,64,0,6,0,1,16
68,19,0,11,0,0,66,0,6,0,1,15
69,20,0,11,0,0,65,0,6,0,1,15
70,23,0,10,0,0,66,0,6,0,1,15
71,22,0,10,0,0,67,0,6,0,2,15
72,22,0,11,0,0,66,0,7,0,2,14
73,22,0,10,0,0,67,0,7,0,2,15
74,22,0,10,0,0,64,0,7,0,3,15
75,23,0,10,0,0,65,0,7,0,3,15
76,23,0,10,0,0,67,0,6,0,3,15
77,22,0,10,0,0,70,0,6,0,4,16
78,20,0,11,0,0,69,0,7,0,4,16
79,19,0,13,0,0,70,0,8,0,6,16
80,18,0,15,0,0,71,0,8,0,5,16
81,19,0,16,0,0,71,0,8,0,5,17
82,20,0,15,0,0,72,0,8,0,5,17
83,19,0,16,0,0,74,0,8,0,5,18
84,21,0,17,0,0,72,0,9,0,5,18
85,21,0,17,0,0,71,0,9,0,5,21
86,24,0,16,0,0,71,0,7,0,5,21
87,24,0,18,0,0,73,0,6,0,5,21
88,24,0,18,0,0,75,0,6,0,6,19
89,24,0,19,0,0,78,0,5,0,6,19
90,22,0,20,0,0,80,0,5,0,7,19
91,22,0,21,0,0,79,0,5,0,7,20
92,23,0,22,0,0,80,0,4,0,6,20
93,24,0,21,0,0,81,0,4,0,6,21
94,24,0,20,0,0,84,0,4,0,6,20
95,25,0,20,0,0,83,0,4,0,6,20
96,25,0,20,0,0,82,0,5,0,6,20
97,25,0,20,0,0,82,0,5,0,7,21
98,26,0,19,0,0,80,0,6,0,7,23
99,24,0,20,0,0,82,0,6,0,7,22
100,24,0,21,0,0,84,0,6,0,7,20
