,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,49,24,17,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
1,49,25,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
2,50,24,16,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
3,49,25,16,12,10,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3
4,50,25,16,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3
5,49,25,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,2
6,49,25,17,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,2,3
7,50,25,17,13,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
8,50,25,16,12,10,9,7,6,5,5,5,4,4,4,3,3,3,3,3,3
9,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
10,50,25,17,13,10,9,7,6,6,5,4,4,4,3,3,3,3,3,3,3
11,50,25,17,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
12,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
13,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
14,50,25,17,13,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
15,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
16,50,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
17,50,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
18,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
19,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
20,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
21,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
22,50,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
23,51,25,17,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
24,50,25,17,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
25,50,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
26,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
27,50,25,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,2
28,50,25,17,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3
29,50,25,17,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,2
30,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
31,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
32,52,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
33,52,26,18,13,11,9,7,7,6,5,5,4,4,4,4,3,3,3,3,3
34,52,26,18,13,10,9,7,7,6,5,5,4,4,4,4,3,3,3,3,3
35,52,26,18,13,10,9,7,7,6,5,5,4,4,4,4,3,3,3,3,3
36,52,26,17,13,10,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3
37,52,26,17,13,10,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3
38,52,26,17,13,10,9,7,6,6,5,5,4,4,4,4,3,3,3,3,3
39,51,26,17,13,10,8,7,7,6,5,5,4,4,4,3,3,3,3,3,3
40,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
41,50,25,17,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
42,51,25,17,13,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3
43,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
44,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
45,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,2
46,49,25,17,13,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
47,50,25,16,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3
48,49,25,16,12,10,8,7,6,5,5,4,4,4,3,3,3,3,3,3,3
49,50,25,17,13,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
50,50,25,16,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,2,3
51,50,25,16,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
52,50,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
53,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
54,49,25,16,12,10,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3
55,50,25,16,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,2,2
56,50,24,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
57,49,24,16,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
58,50,25,16,12,10,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3
59,49,25,17,12,10,8,7,6,5,5,4,4,4,3,3,3,3,3,3,2
60,50,25,16,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,2
61,49,25,16,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
62,49,24,16,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
63,49,25,16,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3
64,49,25,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,2
65,48,25,16,12,10,8,7,6,5,5,4,4,4,3,3,3,3,3,2,2
66,49,25,16,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,2,3
67,49,25,16,12,10,8,7,6,5,5,4,4,4,3,3,3,3,3,3,2
68,49,24,16,12,10,8,7,6,5,5,4,4,4,4,3,3,3,3,3,2
69,49,25,16,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,2
70,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
71,50,25,17,12,10,8,7,6,6,5,4,4,4,4,3,3,3,3,3,3
72,50,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,2,2
73,50,25,16,12,10,8,7,6,5,5,5,4,4,3,3,3,3,3,3,3
74,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
75,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
76,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
77,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
78,51,25,17,13,10,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3
79,51,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
80,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
81,51,26,17,13,10,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3
82,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
83,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
84,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
85,50,25,17,13,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3
86,50,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
87,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
88,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
89,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
90,51,26,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
91,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
92,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
93,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
94,52,26,17,13,10,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3
95,51,26,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
96,51,26,17,13,10,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3
97,51,26,17,13,10,8,7,6,6,5,5,4,4,4,4,3,3,3,3,3
98,51,26,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
99,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
100,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
101,50,25,17,12,10,8,7,6,5,5,5,4,4,4,3,3,3,3,3,2
102,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
103,51,26,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
104,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
105,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
106,50,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
107,51,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
108,51,25,17,12,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
109,50,25,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
110,51,25,17,13,10,9,7,6,6,5,5,4,4,4,3,3,3,3,3,3
111,51,26,17,13,10,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3
