,1,2,3,4,5,6,7,8,9,10,11
1,24,0,24,0,0,89,0,15,0,5,20
2,22,0,25,0,0,90,0,15,0,5,21
3,22,0,24,0,1,90,0,15,0,5,21
4,23,0,24,0,1,89,0,15,0,5,21
5,24,0,24,0,1,90,0,14,0,5,21
6,24,1,24,0,1,88,0,14,0,5,21
7,22,1,24,0,1,93,0,13,0,5,20
8,23,1,24,0,1,95,0,11,0,5,20
9,24,1,24,0,1,97,0,9,0,5,19
10,24,1,24,0,1,98,0,9,0,5,19
11,23,1,23,0,1,96,0,10,0,6,20
12,22,1,24,0,1,97,0,10,0,6,20
13,22,1,24,0,1,97,0,10,0,6,20
14,21,1,24,0,1,99,0,9,0,5,21
15,21,1,23,0,1,99,0,9,0,5,22
16,23,1,22,0,1,97,0,9,0,6,22
17,23,1,22,1,1,95,0,9,0,6,23
18,23,1,22,1,1,96,0,8,0,7,23
19,23,1,22,1,1,96,0,8,0,7,23
20,23,1,23,1,1,96,0,8,0,6,23
21,23,0,24,1,1,95,0,8,1,6,23
22,23,0,24,1,1,96,0,8,1,6,23
23,24,0,25,1,1,96,0,8,1,5,22
24,26,0,26,1,1,93,0,8,1,4,23
25,26,0,28,0,0,92,0,8,1,4,21
26,26,0,28,0,0,92,0,8,1,4,21
27,28,1,27,0,0,90,0,7,1,4,22
28,28,1,26,0,0,89,0,8,1,4,22
29,29,1,27,0,0,86,0,8,1,4,23
30,29,1,26,0,0,87,0,8,1,5,23
31,30,1,25,0,0,90,0,8,1,5,23
32,31,1,27,0,0,90,0,9,1,5,22
33,31,1,27,1,0,88,0,10,1,6,22
34,30,1,28,1,0,89,0,11,1,6,22
35,30,1,28,1,0,89,0,12,1,6,22
36,29,1,28,1,0,89,0,13,1,6,20
37,29,1,28,1,0,90,0,13,0,7,19
38,26,1,29,1,0,92,0,13,0,7,19
39,26,1,29,1,0,93,0,13,0,7,18
40,25,1,29,1,0,93,0,13,0,7,16
41,26,1,30,1,0,92,0,13,0,6,16
42,26,1,29,1,0,92,0,12,0,6,17
43,28,1,28,1,0,91,0,11,0,6,17
44,28,1,26,1,0,90,0,11,0,6,17
45,28,1,26,1,0,88,0,11,0,6,19
46,28,1,27,1,0,89,0,12,0,4,18
47,28,1,27,1,0,88,0,11,0,4,18
48,29,1,25,1,0,90,0,10,0,4,19
49,27,1,25,1,0,91,0,10,0,4,19
50,29,1,25,1,0,91,0,10,0,4,20
51,30,1,25,1,0,90,0,10,0,4,19
52,31,1,23,1,0,93,0,10,0,4,17
53,30,1,21,1,0,96,0,10,0,4,17
54,30,1,21,1,0,97,0,9,0,4,16
55,30,1,21,1,0,97,0,9,0,4,16
56,29,1,21,1,0,96,0,8,0,4,18
57,27,1,20,1,0,99,0,8,0,4,17
58,27,1,19,1,0,100,0,9,0,3,17
59,25,1,19,1,0,103,0,9,0,3,17
60,25,1,17,0,0,104,0,9,0,3,19
61,25,1,18,0,0,107,0,7,0,3,17
62,22,1,19,0,0,108,0,7,0,3,18
63,21,1,18,0,0,110,0,7,0,3,17
64,20,1,19,0,0,111,0,7,0,3,17
65,20,1,21,0,0,108,0,7,0,3,18
66,21,1,22,0,0,106,0,7,0,4,17
67,19,1,23,0,0,106,0,8,0,4,16
68,19,1,25,0,0,104,0,8,0,4,16
69,21,1,25,0,0,103,0,9,0,3,16
70,22,1,25,0,0,103,0,9,0,3,15
71,21,1,26,0,0,105,0,10,0,2,15
72,20,1,28,0,0,104,0,10,0,2,16
73,21,1,27,0,0,100,0,11,0,2,19
74,23,1,27,0,0,98,0,12,0,2,18
75,23,1,27,0,0,99,0,11,0,2,18
76,23,1,27,0,0,99,0,11,0,2,19
77,22,1,26,0,0,103,0,11,0,2,19
78,20,1,29,0,0,102,0,11,0,2,19
79,22,1,30,0,0,101,0,10,0,2,17
80,23,1,30,0,0,101,0,10,0,2,16
81,25,1,30,0,0,100,0,10,0,2,16
82,23,1,29,0,0,103,0,10,0,2,16
83,23,1,27,0,0,101,0,10,0,3,17
84,24,1,27,0,0,99,0,10,0,4,17
85,24,1,26,0,0,99,0,10,0,5,19
86,23,1,27,0,0,96,0,10,0,5,19
87,25,1,28,0,0,96,0,9,0,5,18
88,24,1,28,0,0,100,0,8,0,5,17
89,25,1,27,0,0,104,0,8,0,4,18
90,25,1,28,0,0,103,0,7,0,5,16
91,25,1,29,0,0,102,0,7,0,5,16
92,27,1,28,0,0,100,0,7,0,5,16
93,27,1,28,0,0,101,0,7,0,5,15
94,28,1,28,0,0,102,0,7,0,5,15
95,27,1,27,0,0,102,0,7,0,6,17
96,27,1,28,0,0,102,0,7,0,6,16
97,27,1,28,0,0,101,0,7,0,6,15
98,26,1,28,0,0,103,0,7,0,6,15
99,25,1,28,0,0,102,0,7,0,6,15
100,26,1,28,0,0,100,0,7,0,5,15
101,25,1,28,0,1,100,0,7,0,5,14
102,25,1,29,0,1,101,0,7,0,5,12
103,24,1,30,0,1,105,0,7,0,4,10
104,23,1,30,0,1,106,0,7,0,4,11
105,24,1,29,0,1,106,0,7,0,4,11
106,23,1,28,0,1,106,0,7,0,4,13
107,23,1,28,0,1,105,0,7,0,4,13
108,23,1,28,0,1,104,0,7,0,4,14
109,24,1,27,0,1,101,0,7,0,4,16
110,24,1,27,0,1,101,0,7,0,4,16
111,22,1,28,0,1,103,0,6,0,4,18
112,23,1,28,0,1,103,0,6,0,4,18
113,23,1,27,0,1,102,0,6,0,4,20
114,25,1,29,0,1,99,0,7,0,4,19
115,25,1,29,0,1,99,0,7,0,4,19
116,24,1,29,0,1,100,0,7,0,3,18
117,22,1,29,0,1,102,0,7,0,3,18
118,21,1,30,0,1,101,0,7,0,3,18
119,22,1,29,0,1,102,0,7,0,3,17
120,22,1,29,0,1,101,0,7,0,3,17
121,23,1,30,0,1,99,0,6,0,4,17
122,22,1,30,0,1,99,0,6,0,4,17
123,23,1,30,0,1,97,0,6,0,5,17
124,23,1,29,0,1,99,0,5,0,5,18
125,23,1,30,0,1,99,0,5,0,5,18
126,23,1,32,0,1,97,0,5,0,6,18
127,22,1,33,0,1,100,0,5,0,6,16
128,22,1,31,0,1,100,0,5,0,6,18
129,22,1,32,0,1,100,0,5,0,5,17
130,21,1,31,0,1,100,0,5,0,6,17
131,21,1,31,0,1,99,0,5,0,6,17
132,20,1,31,0,1,99,0,5,0,6,16
133,21,1,31,0,1,101,0,6,0,6,13
134,21,1,31,0,1,100,0,5,0,7,13
135,23,1,30,0,1,101,0,6,0,5,13
136,23,0,30,0,1,100,0,6,0,5,13
137,23,1,30,0,1,100,0,6,0,5,13
138,24,1,30,0,1,99,0,6,0,4,13
139,23,1,30,0,1,99,0,6,0,4,14
140,23,1,29,0,1,99,0,6,0,3,15
141,22,0,28,0,1,100,0,6,0,3,16
142,22,0,26,0,1,100,0,7,0,3,15
143,21,0,27,0,1,99,0,9,0,3,15
144,21,0,28,0,1,98,0,9,0,3,15
145,20,0,28,0,1,99,0,9,0,2,14
146,21,0,28,0,1,98,0,9,0,2,13
147,22,0,27,0,1,97,0,9,0,2,14
148,23,0,27,0,1,97,0,9,0,2,12
149,23,0,29,0,1,96,0,9,0,2,11
150,24,0,30,0,1,94,0,8,0,2,10
151,25,0,27,0,1,95,0,8,0,2,11
152,25,0,26,0,1,94,0,7,0,3,11
153,26,0,25,0,1,93,0,6,0,3,10
154,25,0,24,0,1,91,0,6,0,3,11
155,25,0,24,0,1,88,0,7,0,3,11
156,24,0,25,0,0,86,0,8,0,3,13
157,24,0,24,0,0,84,0,8,0,5,13
158,25,0,24,0,0,85,0,7,0,5,12
159,27,0,24,0,1,82,0,7,0,5,12
160,29,0,25,0,0,79,0,7,0,5,12
161,28,0,23,0,0,78,0,8,0,5,13
162,28,0,23,0,0,78,0,8,0,5,13
163,28,0,22,0,0,80,0,9,0,4,12
164,26,0,21,0,0,83,0,9,0,4,12
165,25,0,19,0,0,83,0,9,0,5,12
166,27,0,17,0,0,84,0,8,0,5,12
167,29,0,18,0,0,82,0,7,0,5,12
168,29,0,18,0,0,83,0,7,0,5,11
169,31,0,17,0,0,82,0,7,0,5,11
170,30,0,16,0,0,84,0,7,0,5,11
171,30,0,16,0,0,81,0,9,0,4,12
172,29,0,16,0,0,82,0,9,0,4,13
173,29,0,16,0,0,82,0,9,0,3,13
174,29,0,16,0,0,82,0,9,0,3,13
175,29,0,16,0,0,81,0,9,0,3,13
176,30,0,16,0,0,80,0,9,0,3,13
177,31,0,16,0,0,81,0,8,0,3,13
178,31,0,16,0,0,80,0,8,0,3,12
179,31,0,16,0,0,79,0,8,0,3,14
180,30,0,17,0,0,79,0,6,0,3,14
181,31,0,17,0,0,79,0,6,0,3,14
182,31,0,18,0,0,79,0,6,0,3,14
183,30,0,18,0,0,78,0,6,0,4,14
184,30,0,18,0,0,79,0,6,0,4,14
185,29,0,17,0,0,79,0,7,0,4,14
186,30,0,16,0,0,80,0,6,0,4,15
187,29,0,16,0,0,80,0,5,0,4,17
188,31,0,18,0,0,82,0,5,0,4,15
189,31,0,16,0,0,84,1,5,0,4,15
190,30,0,16,0,0,90,1,4,0,4,15
191,30,0,14,0,0,89,1,5,0,5,18
192,31,0,15,0,0,88,1,5,0,7,17
